CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,TELEFONO_1,TELEFONO_2,DIRECCION CORREGIDA,ESTABLECIMIENTO CORREGIDO
00-11-8429-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO SANTA TERESITA,22 CALLE 13-31,24933232,MIRIAM DEL CARMEN OROZCO HERNANDEZ,VIOLETA DEL ALBA NAVARRO OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24933232,, 2 2  C A L L E  1 3 - 3 1 ,COLEGIO SANTA TERESITA
00-11-8447-46,01-641,CIUDAD CAPITAL,ZONA 11,"INSTITUTO PARTICULAR MIXTO NOCTURNO ""LIC. EMILIO ARENALES CATALÁN""",2A. AVENIDA. 4-21,40900292,SERGIO ALEJANDRO VILLATORO VILLAGRAN,RAUL ERNESTO CATALAN ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,40900292,, 2 A . A V . .  4 - 2 1 ,INSTITUTO PARTICULAR MIXTO NOCTURNO LIC. EMILIO ARENALES CATALÁN
00-11-8449-46,01-404,CIUDAD CAPITAL,ZONA 11,INST. PARTICULAR MIXTO DIURNO Y NOCTURNO 'LIC. EMILIO ARENALES CATALAN',2A. AV. 4-21 COLONIA EL PROGRESO,24723222,ORLANDO ERCILIO GIRON ALVAREZ,SILVIA PATRICIA CATALÁN SÁNCHEZ DE ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,24723222,, 2 A .  A V .  4 - 2 1  C O L O N I A  E L  P R O G R E S O ,INST. PARTICULAR MIXTO DIURNO Y NOCTURNO LIC. EMILIO ARENALES CATALAN 
00-11-8547-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO MIXTO EURO AMERICANO,17A. AVENIDA 26-46 COLONIA LASCHARCAS,44913168,MIRIAM DEL CARMEN OROZCO HERNANDEZ,LUISA ILEANA PELLECER CRUZ DE OVANDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,44913168,, 1 7 A . A V .  2 6 - 4 6  C O L O N I A  L A S C H A R C A S ,COLEGIO MIXTO EURO AMERICANO
00-11-8876-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO SAN BORJA,21 CALLE 13-17,,DINIZ ORALIA MORALES MUÑOZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,,, 2 1  C A L L E  1 3 - 1 7 ,COLEGIO SAN BORJA
00-11-8915-46,01-630,CIUDAD CAPITAL,ZONA 11,"COLEGIO INTEGRAL GUATEMALTECO, S.A. (CIGSSA)",13 CALLE 5-06 COLONIA EL PROGRESO,24722702,LUZ ANTONIA POCON CARRILLO,MARIA DEL ROSARIO LOPEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,24722702,, 1 3  C A L L E  5 - 0 6  C O L O N I A  E L  P R O G R E S O ,"COLEGIO INTEGRAL GUATEMALTECO, S.A. (CIGSSA)"
00-11-9080-46,01-209,CIUDAD CAPITAL,ZONA 11,CENTRO EDUCATIVO MUNDO VERDE,"8A. AVENIDA 34-34, COLONIA LAS CHARCAS",24770072,MIRIAM DEL CARMEN OROZCO HERNANDEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24770072,," 8 A . A V .  3 4 - 3 4 ,  C O L O N I A  L A S  C H A R C A S ",CENTRO EDUCATIVO MUNDO VERDE
00-11-9211-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO AMERICANO PREUNIVERSITARIO,"39 CALLE 10-91, LAS CHARCAS",4764442/43/38/30,DINIZ ORALIA MORALES MUÑOZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,,," 3 9  C A L L E  1 0 - 9 1 ,  L A S  C H A R C A S ",COLEGIO AMERICANO PREUNIVERSITARIO
00-11-9573-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO ITALIANO DE GUATEMALA,CALZADA ROOSEVELT NO. 35-83,24394784,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARLOS ERNESTO OCHOA SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA SUR,24394784,, C A L Z A D A  R O O S E V E L T  N O .  3 5 - 8 3 ,COLEGIO ITALIANO DE GUATEMALA
00-11-9633-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO ITALIANO DE GUATEMALA,CALZADA ROOSEVELT 35-83,24394784,MIRIAM DEL CARMEN OROZCO HERNANDEZ,ALFREDO ARMANDO TOLEDO TORRES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,24394784,, C A L Z A D A  R O O S E V E L T  3 5 - 8 3 ,COLEGIO ITALIANO DE GUATEMALA
00-11-9799-46,99-001,CIUDAD CAPITAL,ZONA 11,COLEGIO MIXTO DIURNO 'FRANKLIN DELANO ROOSEVELT',,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,,,<NA>,COLEGIO MIXTO DIURNO FRANKLIN DELANO ROOSEVELT 
00-11-9828-46,99-001,CIUDAD CAPITAL,ZONA 11,CENTRO EDUCACIONAL DE ESTUDIOS ECONOMICO-ADMINISTRATIVOS,,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,,,<NA>,CENTRO EDUCACIONAL DE ESTUDIOS ECONOMICO-ADMINISTRATIVOS
00-11-9833-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO BENTHAM,33 CALLE 9-29,24731901,MIRIAM DEL CARMEN OROZCO HERNANDEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24731901,, 3 3  C A L L E  9 - 2 9 ,COLEGIO BENTHAM
00-11-9843-46,01-218,CIUDAD CAPITAL,ZONA 11,LICEO TECNICO VOCACIONAL GALILEI,15 AVENIDA 12-93,24717973,BENIGNO ISAIAS DE LEON OROZCO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24717973,, 1 5 A V .  1 2 - 9 3 ,LICEO TÉCNICO VOCACIONAL GALILEI
00-11-9844-46,01-218,CIUDAD CAPITAL,ZONA 11,LICEO TECNICO VOCACIONAL GALILEI,15 AVENIDA 12-93,24717973,BENIGNO ISAIAS DE LEON OROZCO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,24717973,, 1 5 A V .  1 2 - 9 3 ,LICEO TÉCNICO VOCACIONAL GALILEI
00-12-0008-46,01-411,CIUDAD CAPITAL,ZONA 12,CENTRO EDUCATIVO IMB-PC EN LINEA (IMB-PC ONLINE),20 AVE. 6-20 COLONIA MORSE,,JUAN ENRIQUE MARTINEZ SOLANO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,,, 2 0  A V E .  6 - 2 0  C O L O N I A  M O R S E ,CENTRO EDUCATIVO IMB-PC EN LINEA (IMB-PC ONLINE)
00-12-0010-46,01-411,CIUDAD CAPITAL,ZONA 12,CENTRO EDUCATIVO IMB-PC EN LINEA (IMB-PC ONLINE),20 AVE. 6-20 COLONIA MORSE,,JUAN ENRIQUE MARTINEZ SOLANO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,,, 2 0  A V E .  6 - 2 0  C O L O N I A  M O R S E ,CENTRO EDUCATIVO IMB-PC EN LINEA (IMB-PC ONLINE)
00-12-0011-46,01-210,CIUDAD CAPITAL,ZONA 12,"LICEO MIXTO CRISTIANO ""PIAGET""","2A. AVENIDA 4-60, CIUDAD REAL I",24793768,DINIZ ORALIA MORALES MUÑOZ,SILVIA ELIZABETH FLORES HERNANDEZ DE HERRERA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,24793768,," 2 A . A V .  4 - 6 0 ,  C I U D A D  R E A L  I ",LICEO MIXTO CRISTIANO PIAGET
00-12-0027-46,01-211,CIUDAD CAPITAL,ZONA 12,CENTRO EDUCATIVO VERAPAZ,"2A. AVENIDA 34-26, COLONIA EL CARMEN",24422243,ADRIANA FABIOLA BOLAÑOS ESTRADA,GUSTAVO ADOLFO RECINOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24422243,," 2 A . A V .  3 4 - 2 6 ,  C O L O N I A  E L  C A R M E N ",CENTRO EDUCATIVO VERAPAZ
00-12-0031-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO EDUCATIVO MAYA B,"4AV. 15-08, COLONIA LA REFORMITA",24745452,ADRIANA FABIOLA BOLAÑOS ESTRADA,VILMA YANETH RAXTÚM SEQUÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24745452,," 4 A V .  1 5 - 0 8 ,  C O L O N I A  L A  R E F O R M I T A ",LICEO EDUCATIVO MAYA B
00-12-0036-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO INTEGRAL FUENTE DE JUVENTUD,6A. AVENIDA 0-67 CIUDAD REAL I,55167763,DINIZ ORALIA MORALES MUÑOZ,LILIAN NINETH RODRÍGUEZ ORTÍZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,55167763,, 6 A . A V .  0 - 6 7  C I U D A D  R E A L  I ,LICEO INTEGRAL FUENTE DE JUVENTUD
00-12-0037-46,01-218,CIUDAD CAPITAL,ZONA 12,COLEGIO CRISTIANO AMINADAB,"LOTE 57 Y 58 MANZANA ""B"" SECTOR 2 EL BUCARO, ZONA 12, VILLA NUEVA",35510446,BENIGNO ISAIAS DE LEON OROZCO,RUTH NOEMÍ MORALES BOJORQUES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,35510446,," L O T E  5 7  Y  5 8  M A N Z A N A  "" B ""  S E C T O R  2  E L  B U C A R O ,  Z O N A  1 2 ,  V I L L A  N U E V A ",COLEGIO CRISTIANO AMINADAB
00-12-0040-46,01-210,CIUDAD CAPITAL,ZONA 12,CENTRO EDUCATIVO CJD,"CALZADA JUSTO RUFINO BARRIOS, 8-06, COLONIA MORSE",24774956,DINIZ ORALIA MORALES MUÑOZ,BLANCA VIRGILIA LAU DUARTE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24774956,," C A L Z A D A  J U S T O  R U F I N O  B A R R I O S ,  8 - 0 6 ,  C O L O N I A  M O R S E ",CENTRO EDUCATIVO CJD
00-12-0044-46,01-210,CIUDAD CAPITAL,ZONA 12,COLEGIO DE INFORMATICA IMB-PC NO. 2,AVENIDA PETAPA 30-64,23043211,DINIZ ORALIA MORALES MUÑOZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,23043211,, A V .  P E T A P A  3 0 - 6 4 ,COLEGIO DE INFORMATICA IMB-PC NO. 2
00-12-0048-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES DE MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0049-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES DE MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0051-46,01-641,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,SERGIO ALEJANDRO VILLATORO VILLAGRAN,ROSAURA GUDIEL ROSALES DE MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0052-46,01-641,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,SERGIO ALEJANDRO VILLATORO VILLAGRAN,ROSAURA GUDIEL ROSALES DE MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0055-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0056-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0058-46,01-210,CIUDAD CAPITAL,ZONA 12,COLEGIO PANAMERICANO NO. 3,45 CALLE 19-05 ZONA 12 GUATEMALA,24420778,DINIZ ORALIA MORALES MUÑOZ,LUISA FERNANDA FAJARDO MARMOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24420778,, 4 5  C A L L E  1 9 - 0 5  Z O N A  1 2  G U A T E M A L A ,COLEGIO PANAMERICANO NO. 3
00-12-0060-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES DE MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,23750070,," D I A G O N A L  1 9 , A V .  P E T A P A ,  4 0 - 5 4 ",LICEO CANADIENSE SOCIEDAD ANONIMA
00-12-0062-46,01-210,CIUDAD CAPITAL,ZONA 12,INSTITUTO LA ESCUELA EN SU CASA,"21 AVENIDA 33-58, COLONIA SANTA ELISA",24760053,DINIZ ORALIA MORALES MUÑOZ,MARITZA LORENA ALVARADO CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24760053,," 2 1 A V .  3 3 - 5 8 ,  C O L O N I A  S A N T A  E L I S A ",INSTITUTO LA ESCUELA EN SU CASA
00-12-0064-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO NAZARENO,25 AVENIDA 53-64 COLONIA MORSE,54429209,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,54429209,, 2 5 A V .  5 3 - 6 4  C O L O N I A  M O R S E ,LICEO NAZARENO
00-12-0066-46,01-641,CIUDAD CAPITAL,ZONA 12,LICEO SIN FRONTERAS,4TA. AV. 11-52 COLONIA LA REFORMITA,36083900,SERGIO ALEJANDRO VILLATORO VILLAGRAN,CARLOS ADOLFO CHOY GUEVARA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,36083900,, 4 T A .  A V .  1 1 - 5 2  C O L O N I A  L A  R E F O R M I T A ,LICEO SIN FRONTERAS
00-12-0072-46,01-630,CIUDAD CAPITAL,ZONA 12,LICEO INTEGRAL MILENIUM,"4TA. CALLE 1-41, COLONIA CIUDAD REAL I",24793754,LUZ ANTONIA POCON CARRILLO,LUIS FRANCISCO MUÑOZ HIDALGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24793754,," 4 T A .  C A L L E  1 - 4 1 ,  C O L O N I A  C I U D A D  R E A L  I ",LICEO INTEGRAL MILENIUM
00-12-0076-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO COMPUTEX,"5TA. AVENIDA 21-77, LA REFORMITA",24745556,ADRIANA FABIOLA BOLAÑOS ESTRADA,CARMEN REYES AREVALO DE ANGEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24745556,," 5 T A . A V .  2 1 - 7 7 ,  L A  R E F O R M I T A ",LICEO COMPUTEX
00-12-0077-46,01-211,CIUDAD CAPITAL,ZONA 12,COLEGIO PRIVADO MIXTO 12 DE OCTUBRE,"10A. AVENIDA 15-71, COLONIA REFORMITA",24730788,ADRIANA FABIOLA BOLAÑOS ESTRADA,ANA MARIA VICTORIA MONZON PONCE DE PACHECO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24730788,," 1 0 A . A V .  1 5 - 7 1 ,  C O L O N I A  R E F O R M I T A ",COLEGIO PRIVADO MIXTO 12 DE OCTUBRE
00-12-0078-46,01-211,CIUDAD CAPITAL,ZONA 12,COLEGIO MAHANAIM C.E.F.E.A.,"12 AVENIDA, 21-61",22692402,ADRIANA FABIOLA BOLAÑOS ESTRADA,JESSICA GABRIELA MONTENEGRO CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,22692402,," 1 2 A V . ,  2 1 - 6 1 ",COLEGIO MAHANAIM C.E.F.E.A.
00-12-0088-46,01-641,CIUDAD CAPITAL,ZONA 12,LICEO COMPUTEX,"5A. AVENIDA 21-77, ZONA 12, LA REFORMITA",22142346,SERGIO ALEJANDRO VILLATORO VILLAGRAN,ONDINA ANABELLA ALVARADO CASTILLO DE MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,22142346,," 5 A . A V .  2 1 - 7 7 ,  Z O N A  1 2 ,  L A  R E F O R M I T A ",LICEO COMPUTEX
00-12-0089-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO COMPUTEX,"5A. AVENIDA 21-77, ZONA 12, LA REFORMITA",24745556,ADRIANA FABIOLA BOLAÑOS ESTRADA,ONDINA ANABELLA ALVARADO CASTILLO DE MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24745556,," 5 A . A V .  2 1 - 7 7 ,  Z O N A  1 2 ,  L A  R E F O R M I T A ",LICEO COMPUTEX
00-12-0102-46,01-411,CIUDAD CAPITAL,ZONA 12,"INSTITUTO DE EDUCACIÓN A DISTANCIA ""LA ESCUELA EN SU CASA""","21A. AVENIDA. 33-58, COLONIA SANTA ELISA ZONA 12",23873100,JUAN ENRIQUE MARTINEZ SOLANO,ISABEL CRISTINA BALCAZAR VASQUEZ DE AREVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,A DISTANCIA,GUATEMALA SUR,23873100,," 2 1 A . A V . .  3 3 - 5 8 ,  C O L O N I A  S A N T A  E L I S A  Z O N A  1 2 ",INSTITUTO DE EDUCACIÓN A DISTANCIA LA ESCUELA EN SU CASA
00-12-0103-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO MIXTO JUAN APOSTOL,"4 AVENIDA 11-52 ZONA 12, COLONIA LA REFORMITA",24712442,ADRIANA FABIOLA BOLAÑOS ESTRADA,BELINDA FEDELINA VAVAS MANCILLA DE DIAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,24712442,," 4 A V .  1 1 - 5 2  Z O N A  1 2 ,  C O L O N I A  L A  R E F O R M I T A ",LICEO MIXTO JUAN APOSTOL
00-12-0104-46,01-210,CIUDAD CAPITAL,ZONA 12,DIRECCIÓN DEPARTAMENTAL DE EDUCACIÓN GUATEMALA SUR,"AVENIDA PETAPA 47-79, PLAZA GRECIA, SEGUNDO NIVEL",24628700,DINIZ ORALIA MORALES MUÑOZ,MARIA DEL ROSARIO LÓPEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,24628700,," A V .  P E T A P A  4 7 - 7 9 ,  P L A Z A  G R E C I A ,  S E G U N D O  N I V E L ",DIRECCIÓN DEPARTAMENTAL DE EDUCACIÓN GUATEMALA SUR
00-12-0109-46,01-641,CIUDAD CAPITAL,ZONA 12,"COLEGIO MIXTO ""CIENCIA Y ARTE""","8 CALLE 16-30 ZONA 12, MUNICIPIO DE GUATEMALA , DEPARTAMENTO DE GUATEMALA",24755457,SERGIO ALEJANDRO VILLATORO VILLAGRAN,ROSIDALIA MARMITA OROZCO OROZCO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,24755457,," 8  C A L L E  1 6 - 3 0  Z O N A  1 2 ,  M U N I C I P I O  D E  G U A T E M A L A  ,  D E P A R T A M E N T O  D E  G U A T E M A L A ",COLEGIO MIXTO CIENCIA Y ARTE
00-12-0111-46,01-640,CIUDAD CAPITAL,ZONA 12,"CENTRO DE EDUCACION EXTRAESCOLAR ""HECTOR URIEL HERNANDEZ CARDONA-SINTRAUSAC""","CIUDAD UNIVERSITARIA, UNIVERSIDAD DE SAN CARLOS EDIFICIO ANTIGUO DE CALUSAC, SALÓN 5",49150469,ELISEO DANIEL ALVAREZ NATARENO,GUADALUPE VASQUEZ LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,49150469,," C I U D A D  U N I V E R S I T A R I A ,  U N I V E R S I D A D  D E  S A N  C A R L O S  E D I F I C I O  A N T I G U O  D E  C A L U S A C ,  S A L Ó N  5 ",CENTRO DE EDUCACION EXTRAESCOLAR HECTOR URIEL HERNANDEZ CARDONA-SINTRAUSAC
00-12-0114-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,55832921,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,55832921,, 4 3 A .  C A L L E  1 9 - 3 5  C O L O N I A  L A  C O L I N A ,LICEO NAZARENO
00-12-0115-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,41719605,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,41719605,, 4 3 A .  C A L L E  1 9 - 3 5  C O L O N I A  L A  C O L I N A ,LICEO NAZARENO
00-12-0116-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO NAZARENO,43A. CALLE 19-35 COLONIA LA COLINA,22149922,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,22149922,, 4 3 A .  C A L L E  1 9 - 3 5  C O L O N I A  L A  C O L I N A ,LICEO NAZARENO
00-12-0117-46,01-635,CIUDAD CAPITAL,ZONA 12,COLEGIO EL MUNDO DE LOS NIÑOS (KIDS WORLD),"24 AVENIDA LOTE NO. 24 Y 24 AVENIDA ""A"" LOTES 50 Y 51, COLONIA MORSE",59172006,JULIO PEREZ GUTIERREZ,PEM MARYSOL MEDINA LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,59172006,," 2 4 A V .  L O T E  N O .  2 4  Y  2 4 A V .  "" A ""  L O T E S  5 0  Y  5 1 ,  C O L O N I A  M O R S E ",COLEGIO EL MUNDO DE LOS NIÑOS (KIDS WORLD)
